g	Ground State Energy	Second Derivative	Theory	Theory Second Derivative
6.4	-1.64266	-0.00218063	-1.63931	-0.00198187
6.44	-1.65239	-0.0021385	-1.64906	-0.00194421
6.48	-1.66213	-0.00209748	-1.65882	-0.0019075
6.52	-1.67186	-0.00205751	-1.66857	-0.00187171
6.56	-1.6816	-0.00201857	-1.67834	-0.00183682
6.6	-1.69135	-0.00198062	-1.6881	-0.0018028
6.64	-1.70109	-0.00194363	-1.69787	-0.00176962
6.68	-1.71084	-0.00190758	-1.70764	-0.00173725
6.72	-1.7206	-0.00187242	-1.71741	-0.00170567
6.76	-1.73035	-0.00183814	-1.72719	-0.00167486
6.8	-1.74011	-0.0018047	-1.73697	-0.00164479
6.84	-1.74987	-0.00177208	-1.74675	-0.00161544
6.88	-1.75964	-0.00174025	-1.75653	-0.00158679
6.92	-1.76941	-0.0017092	-1.76632	-0.00155882
6.96	-1.77918	-0.00167888	-1.77611	-0.0015315
7	-1.78895	-0.00164929	-1.7859	-0.00150482
7.04	-1.79873	-0.0016204	-1.79569	-0.00147877
7.08	-1.8085	-0.00159219	-1.80549	-0.00145331
7.12	-1.81828	-0.00156464	-1.81529	-0.00142844
7.16	-1.82807	-0.00153773	-1.82509	-0.00140413
7.2	-1.83785	-0.00151144	-1.83489	-0.00138038
7.24	-1.84764	-0.00148575	-1.8447	-0.00135716
7.28	-1.85743	-0.00146065	-1.85451	-0.00133446
7.32	-1.86722	-0.00143612	-1.86432	-0.00131227
7.36	-1.87702	-0.00141214	-1.87413	-0.00129057
7.4	-1.88682	-0.0013887	-1.88394	-0.00126935
7.44	-1.89662	-0.00136578	-1.89376	-0.0012486
7.48	-1.90642	-0.00134337	-1.90357	-0.00122829
7.52	-1.91622	-0.00132145	-1.91339	-0.00120843
7.56	-1.92603	-0.00130001	-1.92322	-0.001189
7.6	-1.93584	-0.00127903	-1.93304	-0.00116998
7.64	-1.94565	-0.00125851	-1.94287	-0.00115136
7.68	-1.95546	-0.00123843	-1.95269	-0.00113314
7.72	-1.96527	-0.00121878	-1.96252	-0.00111531
7.76	-1.97509	-0.00119954	-1.97235	-0.00109785
7.8	-1.98491	-0.00118072	-1.98219	-0.00108075
7.84	-1.99473	-0.00116229	-1.99202	-0.00106401
7.88	-2.00455	-0.00114424	-2.00186	-0.00104762
7.92	-2.01437	-0.00112657	-2.01169	-0.00103156
7.96	-2.0242	-0.00110926	-2.02153	-0.00101583
8	-2.03403	-0.00110926	-2.03137	-0.00101583
